target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,66,K3/H3-E4-M2,12143,12,507,15,45,1
1,67,Normal-E1,137899,105,507,22,105,1
1,67,K4/H4-E1,71694,45,507,22,105,1
1,67,K4/H4-E4,37132,45,507,22,105,1
1,67,K3/H3-E4,34743,48,507,22,105,1
1,67,K3/H3-E4-M1,29111,48,507,22,105,1
1,67,K3/H3-E4-M2,24170,48,507,22,105,1
1,68,Normal-E1,281865,239,507,26,239,1
1,68,K4/H4-E1,110343,79,507,26,239,1
1,68,K4/H4-E4,49286,79,507,26,239,1
1,68,K3/H3-E4,46466,80,507,26,239,1
1,68,K3/H3-E4-M1,39810,80,507,26,239,1
1,68,K3/H3-E4-M2,33957,80,507,26,239,1
1,69,Normal-E1,195056,160,507,23,160,1
1,69,K4/H4-E1,81389,55,507,23,160,1
1,69,K4/H4-E4,38764,55,507,23,160,1
1,69,K3/H3-E4,36428,56,507,23,160,1
1,69,K3/H3-E4-M1,30540,56,507,23,160,1
1,69,K3/H3-E4-M2,26376,56,507,23,160,1
1,70,Normal-E1,284728,243,507,26,243,1
1,70,K4/H4-E1,122196,88,507,26,243,1
1,70,K4/H4-E4,54227,88,507,26,243,1
1,70,K3/H3-E4,50113,98,507,26,243,1
1,70,K3/H3-E4-M1,43644,98,507,26,243,1
1,70,K3/H3-E4-M2,39295,98,507,26,243,1
1,71,Normal-E1,276145,235,507,25,235,1
1,71,K4/H4-E1,66986,38,507,25,235,1
1,71,K4/H4-E4,37417,38,507,25,235,1
1,71,K3/H3-E4,35052,41,507,25,235,1
1,71,K3/H3-E4-M1,28652,41,507,25,235,1
1,71,K3/H3-E4-M2,23162,41,507,25,235,1
1,72,Normal-E1,30733,15,507,12,15,1
1,72,K4/H4-E1,18259,4,507,12,15,1
1,72,K4/H4-E4,14802,4,507,12,15,1
1,72,K3/H3-E4,13691,4,507,12,15,1
1,72,K3/H3-E4-M1,10619,4,507,12,15,1
1,72,K3/H3-E4-M2,8678,4,507,12,15,1
1,73,Normal-E1,76056,49,507,19,49,1
1,73,K4/H4-E1,34383,12,507,19,49,1
1,73,K4/H4-E4,24782,12,507,19,49,1
1,73,K3/H3-E4,22723,13,507,19,49,1
1,73,K3/H3-E4-M1,17859,13,507,19,49,1
1,73,K3/H3-E4-M2,13363,13,507,19,49,1
1,74,Normal-E1,248845,212,507,23,212,1
1,74,K4/H4-E1,67256,40,507,23,212,1
1,74,K4/H4-E4,36945,40,507,23,212,1
1,74,K3/H3-E4,32269,40,507,23,212,1
1,74,K3/H3-E4-M1,26381,40,507,23,212,1
1,74,K3/H3-E4-M2,22197,40,507,23,212,1
1,75,Normal-E1,63284,42,507,15,42,1
1,75,K4/H4-E1,29098,11,507,15,42,1
1,75,K4/H4-E4,20770,11,507,15,42,1
1,75,K3/H3-E4,18689,11,507,15,42,1
1,75,K3/H3-E4-M1,14849,11,507,15,42,1
1,75,K3/H3-E4-M2,11547,11,507,15,42,1
1,76,Normal-E1,87842,64,507,17,64,1
1,76,K4/H4-E1,37515,18,507,17,64,1
1,76,K4/H4-E4,23306,18,507,17,64,1
1,76,K3/H3-E4,21627,19,507,17,64,1
1,76,K3/H3-E4-M1,17275,19,507,17,64,1
1,76,K3/H3-E4-M2,14347,19,507,17,64,1
1,77,Normal-E1,144915,113,507,22,113,1
1,77,K4/H4-E1,50187,26,507,22,113,1
1,77,K4/H4-E4,29892,26,507,22,113,1
1,77,K3/H3-E4,28985,32,507,22,113,1
1,77,K3/H3-E4-M1,23353,32,507,22,113,1
1,77,K3/H3-E4-M2,19469,32,507,22,113,1
1,78,Normal-E1,485040,430,507,31,430,1
