target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
16,49,1,15288,16,44,68209,32033,22432,21300,17204,12167
16,50,1,8685,18,48,72874,33126,22757,21881,17273,13910
16,51,1,10931,16,43,65441,28300,21003,18774,14678,11389
16,52,1,10931,16,43,66672,35473,23568,21594,17498,12957
16,53,1,1801,17,33,57099,29117,21820,20378,16026,11908
16,54,1,5281,22,121,154728,53269,32148,29870,24238,18929
16,55,1,10931,16,33,55505,27286,20757,19028,14998,11448
16,56,1,10931,10,10,23879,16551,13862,12753,10193,7661
16,57,1,7786,17,61,85127,33032,21895,20682,16330,13123
16,58,1,1721,15,37,58983,31267,21666,19817,15977,11910
16,59,1,7786,16,49,72574,34729,22824,21295,17199,12948
16,60,1,7786,18,84,110861,43539,27271,24541,19933,16198
16,61,1,14405,21,83,115402,51560,31975,29779,24466,18350
16,62,1,491,19,77,104858,37414,25509,23135,18438,14209
16,63,1,7786,16,42,65405,29207,21142,20298,16202,11940
16,64,1,10931,16,32,53814,31555,22218,19432,15542,12519
16,65,1,10839,21,67,96626,48382,28957,27529,22153,17958
16,66,1,491,15,45,65639,29777,20944,18211,14452,12113
16,67,1,8685,16,30,51960,26690,19776,18853,14757,11537
16,68,1,3947,21,81,112044,54648,31223,29411,24035,19075
16,69,1,5281,17,36,59597,31054,22221,20443,16091,12661
16,70,1,2852,4,3,8122,9011,7858,6749,5725,5140
16,71,1,2852,16,27,49603,31033,22200,20256,16160,12282
16,72,1,491,12,15,30707,18233,14776,13665,10593,8652
16,73,1,1721,17,35,59230,29754,21689,20578,16226,11987
16,74,1,10593,10,15,28450,18027,13802,12693,10133,8190
16,75,1,15288,14,31,50820,23324,18850,16766,13182,9910
16,76,1,2852,10,13,26079,16687,13230,12121,9561,7959
16,77,1,8685,15,31,50958,25607,18310,17190,13350,10916
16,78,1,15288,17,41,65733,29027,21730,20619,16267,11880
16,79,1,491,16,43,65273,34224,22319,20464,16368,13210
16,80,1,491,12,16,32187,19713,15488,14379,11307,8963
16,81,1,8685,9,12,24214,15331,12642,11533,9229,7409
16,82,1,8685,12,18,35143,20603,16378,15267,12195,8952
16,83,1,2852,10,12,25963,18638,14413,13304,10744,8243
16,84,1,7786,18,66,92256,42139,26394,24659,20051,16021
16,85,1,2852,18,44,69343,33931,24330,22881,18273,14439
16,86,1,7786,15,36,57003,26797,19500,18079,14429,11365
16,87,1,7786,16,46,68582,31350,21284,19870,15774,12442
16,88,1,10593,16,48,70534,33779,21874,20558,16513,13269
16,89,1,5281,14,27,47156,25407,18878,17769,14185,10448
16,90,1,5281,18,54,80396,42151,25638,25323,20715,16214
16,91,1,10931,17,53,77736,38536,24782,22614,18262,14266
16,92,1,507,20,86,115197,45910,27861,26321,21261,17047
16,93,1,5281,15,45,66404,28396,20331,18446,14606,11519
16,94,1,1721,17,40,63202,29025,20960,20452,16100,13084
16,95,1,4724,10,12,26090,18766,14541,13432,10872,8340
16,96,1,4724,17,42,65260,31651,22818,19643,15291,12329
16,97,1,1801,16,33,54909,34027,22505,20562,16466,13642
16,98,1,1801,13,20,37398,22350,16589,15480,12152,9809
16,99,1,15288,21,101,131877,56228,32035,28718,23409,19213
64,0,1,2852,6,4,12332,12204,10283,9174,7638,6094
64,1,1,8685,13,14,31394,20625,16400,15142,11814,9347
64,2,1,8089,7,3,12299,12697,10776,9667,7875,6425
64,3,1,4876,13,19,37203,21123,16898,15787,12459,9310
64,4,1,4720,8,4,15035,13888,11967,10858,8810,6803
64,5,1,4876,18,40,64983,32421,24006,21193,16585,12915
64,6,1,7786,12,24,40453,20753,15760,14651,11579,9173
64,7,1,1801,12,25,40671,21536,15775,14098,11040,9470
64,8,1,3304,11,13,28560,19694,15469,14358,11542,8639
64,9,1,12001,1,0,1446,5924,5539,4430,4174,3834
64,10,1,8685,5,4,10653,11035,9114,8005,6725,5738
64,11,1,682,12,19,35094,21738,15977,14717,11645,9378
64,12,1,26,14,20,39195,27587,19630,17566,14174,11180
64,13,1,9302,11,17,33064,19032,15575,14464,11648,8373
64,14,1,14567,12,19,36167,21629,16636,15525,12453,9148
64,15,1,7400,10,7,20667,17473,14016,12905,10345,7968
64,16,1,10839,13,30,48389,24648,18119,16411,13083,10064
64,17,1,6247,7,6,15762,13063,11142,10033,8241,6450
64,18,1,14542,9,8,20191,16471,13014,11905,9601,7626
64,19,1,4724,11,16,31646,20714,15721,14612,11796,8862
64,20,1,14542,13,20,38338,21372,17147,15890,12562,9258
64,21,1,11647,13,18,36029,22017,17024,15915,12587,9593
64,22,1,4724,8,6,16170,13995,11306,10197,8149,7103
64,23,1,16090,10,13,28025,19668,15443,14334,11774,8343
64,24,1,2888,3,2,5690,8120,6967,5858,5090,4783
64,25,1,3073,6,3,10648,11554,9633,8524,6988,6033
64,26,1,8225,12,13,28787,20445,15452,14343,11271,9144
64,27,1,173,10,11,25022,15627,13706,12597,10037,7443
64,28,1,10593,10,14,27681,18295,14070,12961,10401,8259
64,29,1,14542,7,6,16164,13460,11539,10430,8638,6382
64,30,1,3903,11,11,25556,16686,13997,12888,10072,8068
64,31,1,160,11,19,34486,19476,15251,14086,11270,8584
