target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
16,6,3947,17,68,14080809,114,123515.86842105263
16,7,5281,12,25,5724634,67,85442.29850746269
16,8,2852,14,32,7358640,75,98115.2
16,9,3947,12,20,5018770,64,78418.28125
16,10,14405,15,35,7876105,88,89501.19318181818
16,11,1721,17,57,12022958,97,123948.02061855671
16,12,5281,16,28,6733363,96,70139.19791666667
16,13,10593,16,43,9656953,89,108505.08988764045
16,14,4724,19,71,15075143,119,126681.87394957984
16,15,14405,21,85,17731056,189,93815.11111111111
16,16,10931,13,30,6845069,105,65191.13333333333
16,17,5281,11,13,3542688,56,63262.28571428572
16,18,5281,14,27,6352766,79,80414.75949367089
16,19,10931,21,82,17188834,166,103547.19277108433
16,20,10931,17,58,12417759,102,121742.73529411765
16,21,7786,19,67,14191712,124,114449.29032258065
16,22,491,15,37,8222415,83,99065.24096385542
16,23,8685,12,21,5276331,69,76468.56521739131
16,24,7786,16,47,10256373,104,98618.97115384616
16,25,491,9,6,1942292,44,44143.0
16,26,4512,15,29,6719849,84,79998.20238095238
16,27,3947,14,32,7322056,84,87167.33333333333
16,28,5281,11,17,4227608,58,72889.79310344828
16,29,7786,14,30,6957261,70,99389.44285714286
16,30,3947,15,26,6219854,78,79741.71794871795
16,31,2852,14,35,7865856,80,98323.2
16,32,5281,21,70,14905281,176,84689.09659090909
16,33,491,13,23,5487058,67,81896.3880597015
16,34,8685,11,17,4249090,56,75876.60714285714
16,35,10593,15,30,7093375,92,77101.90217391304
16,36,10931,7,5,1747263,37,47223.32432432433
16,37,491,2,1,348473,17,20498.41176470588
16,38,15288,15,40,8939502,84,106422.64285714286
16,39,15288,18,71,14886322,131,113636.04580152672
16,40,507,18,48,10584458,107,98920.16822429906
16,41,491,14,29,6688703,80,83608.7875
16,42,4512,17,57,12185421,107,113882.43925233645
16,43,10839,8,6,1876140,43,43631.16279069767
16,44,2852,20,93,18909003,132,143250.02272727274
16,45,7786,12,21,4960219,65,76311.06153846154
16,46,5281,18,68,14390287,116,124054.19827586207
16,47,1801,15,30,6992459,94,74387.86170212766
16,48,15288,13,13,3838004,69,55623.24637681159
16,49,15288,16,44,9872130,94,105022.65957446808
16,50,8685,18,48,10542060,140,75300.42857142857
16,51,10931,16,43,9468843,86,110102.82558139534
16,52,10931,16,43,9624625,101,95293.31683168317
16,53,1801,17,33,7836145,91,86111.48351648351
16,54,5281,22,121,24404601,162,150645.6851851852
16,55,10931,16,33,7687652,86,89391.30232558139
16,56,10931,10,10,2900043,49,59184.551020408166
16,57,7786,17,61,12815206,104,123223.13461538461
16,58,1721,15,37,8409499,91,92412.07692307692
16,59,7786,16,49,10688445,102,104788.67647058824
16,60,7786,18,84,17199437,133,129319.07518796992
16,61,14405,21,83,17546278,156,112476.14102564103
16,62,491,19,77,16013692,114,140470.98245614034
16,63,7786,16,42,9409358,92,102275.63043478261
16,64,10931,16,32,7424535,127,58460.90551181103
16,65,10839,21,67,14330951,153,93666.34640522876
16,66,491,15,45,9656118,93,103829.2258064516
16,67,8685,16,30,7095177,88,80627.01136363637
16,68,3947,21,81,17002208,163,104308.0245398773
