m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
64,35,dram,7400,13,18,0,18146,0
64,36,dram,5531,14,23,0,20038,0
64,37,dram,8225,16,28,0,26657,0
64,38,dram,10931,10,17,0,17357,0
64,39,dram,2888,11,13,0,17694,0
64,40,dram,11272,10,9,0,13404,0
64,41,dram,4512,6,5,0,9854,0
64,42,dram,507,10,8,0,13939,0
64,43,dram,11272,10,12,0,16407,0
64,44,dram,7400,11,8,0,15450,0
64,45,dram,7786,11,14,0,15926,0
64,46,dram,6247,9,10,0,12426,0
64,47,dram,5200,15,30,1,24187,0
64,48,dram,15288,13,13,0,17795,0
64,49,dram,10234,11,11,0,15649,0
64,50,dram,1038,16,32,0,21628,0
64,51,dram,14405,8,10,0,12521,0
64,52,dram,16090,16,43,3,34134,0
64,53,dram,15469,13,21,0,20875,0
64,54,dram,14405,9,13,0,13392,0
64,55,dram,11647,2,1,0,3522,0
64,56,dram,7786,7,4,0,8986,0
64,57,dram,3876,12,15,0,13030,0
64,58,dram,8225,5,4,0,7449,0
64,59,dram,8225,11,14,0,17569,0
64,60,dram,3903,2,1,0,3081,0
64,61,dram,13012,10,13,0,15853,0
64,62,dram,15288,5,4,0,7141,0
64,63,dram,14567,10,11,0,14184,0
64,64,dram,1801,10,10,0,12308,0
64,65,dram,26,15,28,0,20804,0
64,66,dram,9302,13,26,0,16798,0
64,67,dram,682,11,15,0,15487,0
64,68,dram,1825,12,24,0,16318,0
64,69,dram,8225,15,23,0,22196,0
64,70,dram,5531,15,40,0,23355,0
64,71,dram,2852,16,27,0,24971,0
64,72,dram,13048,13,20,0,18900,0
64,73,dram,701,17,35,0,26361,0
64,74,dram,507,16,48,0,22478,0
64,75,dram,10812,7,5,0,9240,0
64,76,dram,1801,15,36,0,24338,0
64,77,dram,701,8,8,0,11206,0
64,78,dram,5281,6,5,0,9182,0
64,79,dram,8089,16,43,0,26184,0
64,80,dram,8799,8,4,0,10375,0
64,81,dram,7786,7,6,0,9545,0
64,82,dram,10234,11,15,0,13712,0
64,83,dram,5270,14,23,0,22195,0
64,84,dram,14494,3,1,0,4177,0
64,85,dram,5200,10,13,0,13633,0
64,86,dram,586,12,19,0,18813,0
64,87,dram,10593,13,23,0,18734,0
64,88,dram,7786,13,25,0,17927,0
64,89,dram,10931,10,13,0,13239,0
64,90,dram,16090,13,12,0,18822,0
64,91,dram,13048,14,18,0,20515,0
64,92,dram,5341,3,1,0,4277,0
64,93,dram,13012,10,14,0,12234,0
64,94,dram,507,13,21,0,18305,0
64,95,dram,507,20,75,3,38228,0
64,96,dram,13012,14,21,0,18799,0
64,97,dram,1801,16,33,0,23080,0
64,98,dram,491,10,7,0,14843,0
64,99,dram,5531,6,4,0,8914,0
256,0,dram,15288,8,7,3,19810,0
256,1,dram,5849,5,2,0,5781,0
256,2,dram,8081,7,3,0,8731,0
256,3,dram,16060,9,8,1,14220,0
256,4,dram,12680,12,17,3,24465,0
256,5,dram,7233,10,5,0,11188,0
256,6,dram,3716,7,7,0,8694,0
256,7,dram,3545,8,8,0,11525,0
256,8,dram,11907,10,8,0,13998,0
256,9,dram,12001,1,0,0,1446,0
256,10,dram,5451,4,2,0,4673,0
256,11,dram,873,12,19,0,16652,0
256,12,dram,90,5,3,0,7147,0
256,13,dram,7326,6,5,0,7594,0
256,14,dram,1930,6,7,0,7717,0
256,15,dram,13448,9,3,0,10601,0
256,16,dram,12329,6,4,0,7738,0
256,17,dram,6247,7,6,0,10129,0
256,18,dram,4389,7,4,0,8404,0
256,19,dram,13749,7,3,0,9087,0
256,20,dram,6940,9,9,0,13514,0
256,21,dram,2302,9,4,0,9255,0
256,22,dram,7844,9,7,0,11845,0
256,23,dram,6733,5,4,0,7489,0
256,24,dram,4724,8,10,0,10651,0
256,25,dram,9555,12,14,0,17214,0
256,26,dram,6702,9,6,0,10220,0
256,27,dram,10532,6,4,0,7495,0
256,28,dram,314,8,7,0,13355,0
256,29,dram,14410,7,6,0,10567,0
256,30,dram,4956,9,7,0,11131,0
256,31,dram,15859,9,10,0,15787,0
256,32,dram,11246,10,12,0,13214,0
256,33,dram,825,8,8,0,10888,0
