target,seed,seed_j_equal,seed_meas_equal,trial_count_equal,l_bbht_equal,success_equal,result_valid_equal,result_index_equal,timeout_equal,unexpected_error_equal,terminal_limit_equal,status_exact_equal,observed_logical_semantics_equal,normal_trial_count,h4_trial_count,normal_l_bbht,h4_l_bbht,normal_result_index,h4_result_index
16,5,1,1,1,1,1,1,1,1,1,1,1,1,15,15,18,18,10839,10839
16,6,1,1,1,1,1,1,1,1,1,1,1,1,17,17,68,68,3947,3947
16,7,1,1,1,1,1,1,1,1,1,1,1,1,12,12,25,25,5281,5281
16,8,1,1,1,1,1,1,1,1,1,1,1,1,14,14,32,32,2852,2852
16,9,1,1,1,1,1,1,1,1,1,1,1,1,12,12,20,20,3947,3947
16,10,1,1,1,1,1,1,1,1,1,1,1,1,15,15,35,35,14405,14405
16,11,1,1,1,1,1,1,1,1,1,1,1,1,17,17,57,57,1721,1721
16,12,1,1,1,1,1,1,1,1,1,1,1,1,16,16,28,28,5281,5281
16,13,1,1,1,1,1,1,1,1,1,1,1,1,16,16,43,43,10593,10593
16,14,1,1,1,1,1,1,1,1,1,1,1,1,19,19,71,71,4724,4724
16,15,1,1,1,1,1,1,1,1,1,1,1,1,21,21,85,85,14405,14405
16,16,1,1,1,1,1,1,1,1,1,1,1,1,13,13,30,30,10931,10931
16,17,1,1,1,1,1,1,1,1,1,1,1,1,11,11,13,13,5281,5281
16,18,1,1,1,1,1,1,1,1,1,1,1,1,14,14,27,27,5281,5281
16,19,1,1,1,1,1,1,1,1,1,1,1,1,21,21,82,82,10931,10931
16,20,1,1,1,1,1,1,1,1,1,1,1,1,17,17,58,58,10931,10931
16,21,1,1,1,1,1,1,1,1,1,1,1,1,19,19,67,67,7786,7786
16,22,1,1,1,1,1,1,1,1,1,1,1,1,15,15,37,37,491,491
16,23,1,1,1,1,1,1,1,1,1,1,1,1,12,12,21,21,8685,8685
16,24,1,1,1,1,1,1,1,1,1,1,1,1,16,16,47,47,7786,7786
16,25,1,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,491,491
16,26,1,1,1,1,1,1,1,1,1,1,1,1,15,15,29,29,4512,4512
16,27,1,1,1,1,1,1,1,1,1,1,1,1,14,14,32,32,3947,3947
16,28,1,1,1,1,1,1,1,1,1,1,1,1,11,11,17,17,5281,5281
