target,seed,normal_cycles,h4_cycles,delta_cycles,speedup,normal_iter,h4_iter,delta_iter
256,37,10391,6399,3992,1.6238474761681512,4,2,2
256,38,13713,8181,5532,1.6762009534286761,5,2,3
256,39,7305,4853,2452,1.5052544817638573,2,1,1
256,40,10933,6941,3992,1.5751332660999855,4,2,2
256,41,10594,6602,3992,1.6046652529536505,4,2,2
256,42,21585,17734,3851,1.217153490470283,8,5,3
256,43,10468,5966,4502,1.7546094535702312,3,1,2
256,44,22543,12401,10142,1.8178372711878075,8,3,5
256,45,11792,7292,4500,1.617114646187603,4,2,2
256,46,17200,9615,7585,1.7888715548621945,6,2,4
256,47,18321,11265,7056,1.626364846870839,6,3,3
256,48,22310,14233,8077,1.5674840160191106,7,4,3
256,49,18805,10711,8094,1.7556717393333956,6,2,4
