m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
4,47,normal,8685,19,76,76,29001,0,0,0,0,0,0
4,47,k4,8685,19,76,26,13855,3237,324,400,1,19,0
4,48,normal,2852,22,95,95,35613,0,0,0,0,0,0
4,48,k4,2852,22,95,35,17637,4111,380,627,1,22,0
4,49,normal,507,16,44,44,19104,0,0,0,0,0,0
4,49,k4,507,16,44,12,11215,5399,2446,235,1,16,0
4,50,normal,8685,12,9,9,7970,0,0,0,0,0,0
4,50,k4,8685,12,9,2,4849,1388,99,143,1,12,0
4,51,normal,4724,21,111,111,39172,0,0,0,0,0,0
4,51,k4,4724,21,111,23,13927,4131,537,601,1,21,0
4,52,normal,2852,18,73,73,27816,0,0,0,0,0,0
4,52,k4,2852,18,73,21,12037,2957,102,434,1,18,0
4,53,normal,4724,20,77,77,29789,0,0,0,0,0,0
4,53,k4,4724,20,77,26,14198,4249,140,689,1,20,0
4,54,normal,2852,24,217,217,68726,0,0,0,0,0,0
4,54,k4,2852,24,217,66,26234,5600,229,973,1,24,0
4,55,normal,507,23,124,124,43667,0,0,0,0,0,0
4,55,k4,507,23,124,52,22183,3811,187,526,1,23,0
4,56,normal,8685,19,59,59,24530,0,0,0,0,0,0
4,56,k4,8685,19,59,21,12343,3062,111,473,1,19,0
4,57,normal,4724,22,166,166,54250,0,0,0,0,0,0
4,57,k4,4724,22,166,42,19001,4936,204,860,1,22,0
4,58,normal,507,21,97,97,35487,0,0,0,0,0,0
4,58,k4,507,21,97,21,13306,3597,302,500,1,21,0
4,59,normal,2852,20,86,86,32233,0,0,0,0,0,0
4,59,k4,2852,20,86,25,13965,3571,117,507,1,20,0
4,60,normal,507,18,84,84,30707,0,0,0,0,0,0
4,60,k4,507,18,84,23,12932,3479,483,507,1,18,0
4,61,normal,507,22,123,123,42877,0,0,0,0,0,0
4,61,k4,507,22,123,48,22695,7757,2153,701,1,22,0
4,62,normal,2852,23,153,153,51375,0,0,0,0,0,0
4,62,k4,2852,23,153,34,17395,4780,273,764,1,23,0
4,63,normal,2852,18,54,54,22733,0,0,0,0,0,0
