target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit
1,68,0x6e084a84,0xb643b17e,1,1,1,507,26,239,80,30678,0,311,0x0000080c,0,0,0
1,69,0x3d7fc476,0x467d7a44,0,1,1,507,23,160,160,53116,0,536,0x0000080c,0,0,0
1,69,0x3d7fc476,0x467d7a44,1,1,1,507,23,160,56,23097,0,236,0x0000080c,0,0,0
1,70,0xedca3875,0xefade11e,0,1,1,507,26,243,243,76504,0,770,0x0000080c,0,0,0
1,70,0xedca3875,0xefade11e,1,1,1,507,26,243,98,36016,0,365,0x0000080c,0,0,0
1,71,0xb883121d,0x095c678c,0,1,1,507,25,235,235,73961,0,744,0x0000080c,0,0,0
1,71,0xb883121d,0x095c678c,1,1,1,507,25,235,41,19883,0,204,0x0000080c,0,0,0
1,72,0xace22797,0xbc422a9a,0,1,1,507,12,15,15,9580,0,99,0x0000080c,0,0,0
1,72,0xace22797,0xbc422a9a,1,1,1,507,12,15,4,5399,0,58,0x0000080c,0,0,0
1,73,0xefd3172d,0x8c2c3233,0,1,1,507,19,49,49,21707,0,222,0x0000080c,0,0,0
1,73,0xefd3172d,0x8c2c3233,1,1,1,507,19,49,13,10084,0,106,0x0000080c,0,0,0
1,74,0xe6aacdb5,0x7f1c158a,0,1,1,507,23,212,212,66876,0,674,0x0000080c,0,0,0
1,74,0xe6aacdb5,0x7f1c158a,1,1,1,507,23,212,40,18918,0,193,0x0000080c,0,0,0
1,75,0x6566c598,0xca804b00,0,1,1,507,15,42,42,18111,0,185,0x0000080c,0,0,0
1,75,0x6566c598,0xca804b00,1,1,1,507,15,42,11,11285,0,117,0x0000080c,0,0,0
1,76,0x4e646d9d,0xcbae5ac0,0,1,1,507,17,64,64,24865,0,253,0x0000080c,0,0,0
1,76,0x4e646d9d,0xcbae5ac0,1,1,1,507,17,64,19,11068,0,115,0x0000080c,0,0,0
1,77,0x05d81d6f,0x260c4013,0,1,1,507,22,113,113,40145,0,406,0x0000080c,0,0,0
1,77,0x05d81d6f,0x260c4013,1,1,1,507,22,113,32,16190,0,166,0x0000080c,0,0,0
1,78,0x2018f6a3,0x5728c7f4,0,1,1,507,31,430,430,128295,0,1287,0x0000080c,0,0,0
1,78,0x2018f6a3,0x5728c7f4,1,1,1,507,31,430,118,43117,0,436,0x0000080c,0,0,0
1,79,0x718ebf0c,0x4d7d460c,0,1,1,507,24,138,138,47798,0,482,0x0000080c,0,0,0
1,79,0x718ebf0c,0x4d7d460c,1,1,1,507,24,138,54,23067,0,236,0x0000080c,0,0,0
