target_count,seed_j,backend,attempt,m_bound,requested_j,result_index,success,target_probability,execution_seconds
1,5,QISKIT_AER_STATEVECTOR,17,19,9,14452,False,0.02187277996348911,0.12062091496773064
1,5,QISKIT_AER_STATEVECTOR,18,23,3,1674,False,0.0029878030980352737,0.04095366189721972
1,5,QISKIT_AER_STATEVECTOR,19,27,17,2467,False,0.07292456937083056,0.20078850199934095
1,5,QISKIT_AER_STATEVECTOR,20,32,12,376,False,0.03766512580579618,0.15479977696668357
1,5,QISKIT_AER_STATEVECTOR,21,39,24,15849,False,0.1395280082243107,0.34465684997849166
1,5,QISKIT_AER_STATEVECTOR,22,47,43,0,True,0.3950818652011633,0.6096457549137995
1,6,NUMPY_FLOAT64,1,1,0,8190,False,6.103515625e-05,0.00012543995399028063
1,6,NUMPY_FLOAT64,2,2,1,5891,False,0.0005492270029208157,0.0003245830303058028
1,6,NUMPY_FLOAT64,3,2,1,8117,False,0.0005492270029208157,0.0002101990394294262
1,6,NUMPY_FLOAT64,4,2,0,4527,False,6.103515625e-05,9.074900299310684e-05
1,6,NUMPY_FLOAT64,5,3,0,14909,False,6.103515625e-05,8.799100760370493e-05
1,6,NUMPY_FLOAT64,6,3,1,8378,False,0.0005492270029208157,0.00020410597790032625
1,6,NUMPY_FLOAT64,7,3,2,3222,False,0.0015251339755106843,0.00021419406402856112
1,6,NUMPY_FLOAT64,8,4,1,1581,False,0.0005492270029208157,0.00018930400256067514
1,6,NUMPY_FLOAT64,9,5,0,12174,False,6.103515625e-05,8.343893568962812e-05
1,6,NUMPY_FLOAT64,10,6,5,2607,False,0.007367240660447194,0.0006310479948297143
1,6,NUMPY_FLOAT64,11,7,1,3047,False,0.0005492270029208157,0.0001965000992640853
1,6,NUMPY_FLOAT64,12,8,5,1109,False,0.007367240660447194,0.0006264969706535339
1,6,NUMPY_FLOAT64,13,9,5,12304,False,0.007367240660447194,0.0004587980220094323
1,6,NUMPY_FLOAT64,14,11,8,6458,False,0.017536045123506365,0.000779403024353087
1,6,NUMPY_FLOAT64,15,13,12,11823,False,0.03766512580579634,0.0007645169971510768
1,6,NUMPY_FLOAT64,16,16,4,5330,False,0.004935806069861494,0.0004014859441667795
1,6,NUMPY_FLOAT64,17,19,8,10241,False,0.017536045123506365,0.0006771469488739967
1,6,NUMPY_FLOAT64,18,23,3,13086,False,0.002987803098035274,0.0003594231093302369
1,6,NUMPY_FLOAT64,19,27,18,8718,False,0.08125724497359635,0.0015211700228974223
1,6,NUMPY_FLOAT64,20,32,17,5839,False,0.0729245693708311,0.0016701819840818644
1,6,NUMPY_FLOAT64,21,39,2,1387,False,0.0015251339755106843,0.00029844604432582855
1,6,NUMPY_FLOAT64,22,47,30,0,True,0.2104347872761882,0.002983157057315111
1,6,QISKIT_AER_STATEVECTOR,1,1,0,8190,False,6.103515625000003e-05,0.0015512319514527917
1,6,QISKIT_AER_STATEVECTOR,2,2,1,5891,False,0.0005492270029208162,0.016471691080369055
1,6,QISKIT_AER_STATEVECTOR,3,2,1,8117,False,0.0005492270029208162,0.019138377043418586
1,6,QISKIT_AER_STATEVECTOR,4,2,0,4527,False,6.103515625000003e-05,0.0021430249325931072
1,6,QISKIT_AER_STATEVECTOR,5,3,0,14909,False,6.103515625000003e-05,0.0020883389515802264
1,6,QISKIT_AER_STATEVECTOR,6,3,1,8378,False,0.0005492270029208162,0.017561925924383104
