target_count,seed_index,requests,c3_work,c3_e1,c3_e2,c3_lb2,c3_maxjob,c3_ev_makespan,c3_ev_work,c3_ev_idle,c3_gate_makespan,c3_gate_work,c3_gate_idle,c4_work,c4_e1,c4_e2,c4_lb2,c4_maxjob,c4_ev_makespan,c4_ev_work,c4_ev_idle,c4_gate_makespan,c4_gate_work,c4_gate_idle,c5_work,c5_e1,c5_e2,c5_lb2,c5_maxjob,c5_ev_makespan,c5_ev_work,c5_ev_idle,c5_gate_makespan,c5_gate_work,c5_gate_idle
16,4,14,7,7,4,4,3,7,13,1,7,13,1,7,7,4,4,3,7,13,1,7,13,1,7,7,4,4,3,7,13,1,7,13,1
16,5,15,5,5,3,3,2,5,9,1,5,9,1,5,5,3,3,2,5,9,1,5,9,1,5,5,3,3,2,5,9,1,5,9,1
16,6,17,17,17,9,9,6,17,29,5,17,29,5,17,17,9,9,6,17,29,5,17,29,5,17,17,9,9,6,17,29,5,17,29,5
16,7,12,7,7,4,4,2,7,12,2,7,12,2,7,7,4,4,2,7,12,2,7,12,2,7,7,4,4,2,7,12,2,7,12,2
16,8,14,7,7,4,4,2,7,13,1,7,13,1,7,7,4,4,2,7,13,1,7,13,1,7,7,4,4,2,7,13,1,7,13,1
16,9,12,6,6,4,3,3,6,11,1,6,11,1,6,6,4,3,3,6,11,1,6,11,1,6,6,4,3,3,6,11,1,6,11,1
16,10,15,11,11,8,6,6,11,17,5,11,17,5,11,11,8,6,6,11,16,6,11,16,6,11,11,8,6,6,11,16,6,11,16,6
16,11,17,10,10,5,5,4,10,19,1,10,19,1,10,10,5,5,4,10,19,1,10,19,1,10,10,5,5,4,10,19,1,10,19,1
16,12,16,10,10,8,7,7,10,16,4,10,16,4,10,10,8,7,7,10,16,4,10,16,4,10,10,8,7,7,10,16,4,10,16,4
16,13,16,8,8,4,4,3,9,17,1,8,14,2,8,8,4,4,3,8,16,0,8,16,0,8,8,4,4,3,8,16,0,8,16,0
16,14,19,14,14,7,7,4,16,30,2,16,30,2,14,14,7,7,4,14,27,1,14,27,1,14,14,7,7,4,14,27,1,14,27,1
16,15,21,37,37,29,23,23,35,49,21,34,48,20,35,35,27,23,23,36,48,24,34,45,23,34,34,26,23,23,34,46,22,34,46,22
16,16,13,8,8,5,4,4,8,12,4,8,12,4,8,8,5,4,4,8,12,4,8,12,4,8,8,5,4,4,8,12,4,8,12,4
16,17,11,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1,4,4,2,2,1,4,7,1,4,7,1
16,18,14,9,9,5,5,4,9,17,1,9,17,1,9,9,5,5,4,9,17,1,9,17,1,9,9,5,5,4,9,17,1,9,17,1
16,19,21,29,29,23,17,17,26,37,15,26,37,15,27,27,21,16,16,26,37,15,26,37,15,26,26,20,16,16,26,36,16,26,36,16
16,20,17,13,13,7,7,4,13,25,1,13,25,1,13,13,7,7,4,13,25,1,13,25,1,13,13,7,7,4,13,25,1,13,25,1
16,21,19,18,18,11,9,9,15,29,1,15,29,1,15,15,11,9,9,15,29,1,15,29,1,15,15,11,9,9,15,29,1,15,29,1
16,22,15,9,9,5,5,3,9,17,1,9,17,1,9,9,5,5,3,9,17,1,9,17,1,9,9,5,5,3,9,17,1,9,17,1
